observation_date,EXPGS
1947-01-01,18.394
1947-04-01,19.497
1947-07-01,19.433
1947-10-01,17.636
1948-01-01,16.917
1948-04-01,15.241
1948-07-01,15.405
1948-10-01,14.625
1949-01-01,16.082
1949-04-01,15.647
1949-07-01,14.115
1949-10-01,12.091
1950-01-01,11.704
1950-04-01,11.872
1950-07-01,12.293
1950-10-01,13.531
1951-01-01,15.043
1951-04-01,17.121
1951-07-01,18.052
1951-10-01,18.180
1952-01-01,18.679
1952-04-01,16.581
1952-07-01,15.246
1952-10-01,15.329
1953-01-01,15.128
1953-04-01,15.196
1953-07-01,15.755
1953-10-01,15.172
1954-01-01,14.424
1954-04-01,16.438
1954-07-01,15.878
1954-10-01,16.605
1955-01-01,17.273
1955-04-01,16.942
1955-07-01,18.145
1955-10-01,18.349
1956-01-01,19.365
1956-04-01,20.882
1956-07-01,21.822
1956-10-01,23.068
1957-01-01,24.919
1957-04-01,24.369
1957-07-01,23.759
1957-10-01,23.022
1958-01-01,20.534
1958-04-01,20.546
1958-07-01,20.595
1958-10-01,20.563
1959-01-01,21.915
1959-04-01,21.776
1959-07-01,24.079
1959-10-01,23.131
1960-01-01,26.145
1960-04-01,26.850
1960-07-01,27.561
1960-10-01,27.622
1961-01-01,27.560
1961-04-01,26.627
1961-07-01,27.779
1961-10-01,28.442
1962-01-01,28.325
1962-04-01,29.662
1962-07-01,29.593
1962-10-01,28.683
1963-01-01,29.161
1963-04-01,31.448
1963-07-01,31.215
1963-10-01,32.474
1964-01-01,34.192
1964-04-01,34.030
1964-07-01,35.375
1964-10-01,36.480
1965-01-01,32.969
1965-04-01,38.367
1965-07-01,37.551
1965-10-01,39.698
1966-01-01,39.356
1966-04-01,40.872
1966-07-01,40.857
1966-10-01,42.594
1967-01-01,43.886
1967-04-01,43.239
1967-07-01,42.845
1967-10-01,43.896
1968-01-01,45.452
1968-04-01,47.165
1968-07-01,49.891
1968-10-01,49.116
1969-01-01,44.042
1969-04-01,53.775
1969-07-01,53.596
1969-10-01,56.275
1970-01-01,57.031
1970-04-01,60.411
1970-07-01,60.519
1970-10-01,60.873
1971-01-01,63.221
1971-04-01,62.894
1971-07-01,65.717
1971-10-01,60.019
1972-01-01,68.639
1972-04-01,67.152
1972-07-01,71.453
1972-10-01,76.129
1973-01-01,83.959
1973-04-01,91.923
1973-07-01,97.576
1973-10-01,107.620
1974-01-01,116.709
1974-04-01,126.668
1974-07-01,126.638
1974-10-01,136.585
1975-01-01,141.369
1975-04-01,136.827
1975-07-01,134.098
1975-10-01,142.531
1976-01-01,143.588
1976-04-01,146.621
1976-07-01,151.775
1976-10-01,156.076
1977-01-01,155.354
1977-04-01,161.906
1977-07-01,162.325
1977-10-01,157.809
1978-01-01,164.601
1978-04-01,186.215
1978-07-01,191.302
1978-10-01,205.415
1979-01-01,211.669
1979-04-01,220.908
1979-07-01,234.277
1979-10-01,253.664
1980-01-01,268.508
1980-04-01,277.389
1980-07-01,284.673
1980-10-01,292.517
1981-01-01,305.467
1981-04-01,308.455
1981-07-01,302.339
1981-10-01,304.695
1982-01-01,293.202
1982-04-01,294.729
1982-07-01,279.634
1982-10-01,265.274
1983-01-01,270.703
1983-04-01,272.514
1983-07-01,278.181
1983-10-01,286.587
1984-01-01,292.975
1984-04-01,302.200
1984-07-01,305.744
1984-10-01,308.603
1985-01-01,306.010
1985-04-01,304.126
1985-07-01,297.273
1985-10-01,305.433
1986-01-01,313.404
1986-04-01,315.119
1986-07-01,320.471
1986-10-01,334.999
1987-01-01,336.451
1987-04-01,355.360
1987-07-01,371.854
1987-10-01,392.107
1988-01-01,418.727
1988-04-01,439.471
1988-07-01,453.586
1988-10-01,466.619
1989-01-01,485.189
1989-04-01,507.229
1989-07-01,509.352
1989-10-01,515.387
1990-01-01,538.232
1990-04-01,545.925
1990-07-01,555.149
1990-10-01,568.186
1991-01-01,573.177
1991-04-01,590.733
1991-07-01,600.595
1991-10-01,615.217
1992-01-01,625.287
1992-04-01,626.163
1992-07-01,639.365
1992-10-01,641.396
1993-01-01,643.606
1993-04-01,653.094
1993-07-01,650.897
1993-10-01,671.600
1994-01-01,681.232
1994-04-01,706.988
1994-07-01,736.883
1994-10-01,758.646
1995-01-01,781.570
1995-04-01,798.851
1995-07-01,831.399
1995-10-01,839.421
1996-01-01,847.940
1996-04-01,859.042
1996-07-01,859.577
1996-10-01,903.798
1997-01-01,918.374
1997-04-01,954.450
1997-07-01,974.057
1997-10-01,968.330
1998-01-01,963.021
1998-04-01,947.295
1998-07-01,935.263
1998-10-01,966.337
1999-01-01,960.764
1999-04-01,974.597
1999-07-01,1005.309
1999-10-01,1030.971
2000-01-01,1052.904
2000-04-01,1093.360
2000-07-01,1125.002
2000-10-01,1113.177
2001-01-01,1096.812
2001-04-01,1058.013
2001-07-01,998.902
2001-10-01,953.520
2002-01-01,969.157
2002-04-01,1004.154
2002-07-01,1015.560
2002-10-01,1003.046
2003-01-01,1004.201
2003-04-01,1007.465
2003-07-01,1037.310
2003-10-01,1091.682
2004-01-01,1133.669
2004-04-01,1170.152
2004-07-01,1180.185
2004-10-01,1221.444
2005-01-01,1258.408
2005-04-01,1294.853
2005-07-01,1302.315
2005-10-01,1350.743
2006-01-01,1413.966
2006-04-01,1459.767
2006-07-01,1475.417
2006-10-01,1531.531
2007-01-01,1577.991
2007-04-01,1622.764
2007-07-01,1685.710
2007-10-01,1750.714
2008-01-01,1813.321
2008-04-01,1905.282
2008-07-01,1922.215
2008-10-01,1700.304
2009-01-01,1511.768
2009-04-01,1521.093
2009-07-01,1594.725
2009-10-01,1703.508
2010-01-01,1759.877
2010-04-01,1819.741
2010-07-01,1877.253
2010-10-01,1972.116
2011-01-01,2040.407
2011-04-01,2116.132
2011-07-01,2156.793
2011-10-01,2150.123
2012-01-01,2189.981
2012-04-01,2215.586
2012-07-01,2227.734
2012-10-01,2237.498
2013-01-01,2255.929
2013-04-01,2261.403
2013-07-01,2285.116
2013-10-01,2349.240
2014-01-01,2343.602
2014-04-01,2395.168
2014-07-01,2399.191
2014-10-01,2376.218
2015-01-01,2299.045
2015-04-01,2300.441
2015-07-01,2260.724
2015-10-01,2222.279
2016-01-01,2181.957
2016-04-01,2221.936
2016-07-01,2270.000
2016-10-01,2268.339
2017-01-01,2339.728
2017-04-01,2349.681
2017-07-01,2384.524
2017-10-01,2479.107
2018-01-01,2517.268
2018-04-01,2562.172
2018-07-01,2535.501
2018-10-01,2537.415
2019-01-01,2540.244
2019-04-01,2547.448
2019-07-01,2532.405
2019-10-01,2537.466
2020-01-01,2430.941
2020-04-01,1829.691
2020-07-01,2116.753
2020-10-01,2277.965
2021-01-01,2393.033
2021-04-01,2522.815
2021-07-01,2581.341
2021-10-01,2777.597
2022-01-01,2865.226
2022-04-01,3093.734
2022-07-01,3129.075
2022-10-01,3057.684
2023-01-01,3085.516
2023-04-01,3016.211
2023-07-01,3082.082
2023-10-01,3109.632
2024-01-01,3164.101
2024-04-01,3192.632
2024-07-01,3256.486
2024-10-01,3248.255
2025-01-01,3293.661
2025-04-01,3267.506
2025-07-01,3366.868
2025-10-01,3350.605
